DayOfWeek,Month,Region,ProductID,CustomerID,SaleAmount_sum,SaleAmount_mean,TransactionID_count,TransactionIDs
Friday,2,East,105,1002,138.46,138.46,1,[565]
Friday,2,West,107,1009,469.14,469.14,1,[564]
Friday,4,West,102,1009,312.8,312.8,1,[583]
Friday,5,North,104,1008,431.0,431.0,1,[593]
Friday,5,South,107,1006,670.2,670.2,1,[592]
Friday,8,East,108,1002,125.6,125.6,1,[625]
Friday,8,East,108,1011,125.6,125.6,1,[624]
Monday,1,West,104,1009,172.4,172.4,1,[556]
Monday,3,East,108,1001,75.36,75.36,1,[575]
Monday,7,East,104,1010,387.9,387.9,1,[615]
Monday,8,South,104,1006,129.3,129.3,1,[627]
Monday,8,West,108,1003,37.68,37.68,1,[626]
Monday,9,East,103,1010,45.52,45.52,1,[641]
Monday,9,North,107,1005,268.08,268.08,1,[640]
Saturday,1,North,102,1008,39.1,39.1,1,[550]
Saturday,1,West,105,1009,19.78,19.78,1,[551]
Saturday,2,East,107,1011,603.18,603.18,1,[568]
Saturday,2,South,103,1007,204.84,204.84,1,[566]
Saturday,2,South,106,1007,444.9,444.9,1,[567]
Saturday,4,East,108,1002,113.04,113.04,1,[585]
Sunday,4,East,108,1001,113.04,113.04,1,[576]
Sunday,4,North,104,1005,387.9,387.9,1,[577]
Sunday,5,South,108,1006,25.12,25.12,1,[595]
Sunday,5,West,101,1003,1586.24,1586.24,1,[594]
Sunday,7,East,104,1001,172.4,172.4,1,[618]
Sunday,7,North,105,1008,79.12,79.12,1,[619]
Sunday,7,West,104,1003,517.2,258.6,2,"[612, 613]"
Sunday,8,East,104,1002,258.6,258.6,1,[633]
Sunday,8,South,108,1006,75.36,75.36,1,[632]
Sunday,9,South,104,1007,689.6,689.6,1,[639]
Thursday,1,North,102,1005,117.3,117.3,1,[554]
Thursday,2,South,107,1006,67.02,67.02,1,[563]
Thursday,2,West,108,1003,12.56,12.56,1,[562]
Thursday,4,West,101,1009,793.12,793.12,1,[581]
Thursday,4,West,103,1004,22.76,22.76,1,[580]
Thursday,5,East,102,1002,117.3,117.3,1,[588]
Thursday,5,South,102,1007,117.3,117.3,1,[589]
Thursday,6,East,104,1001,387.9,387.9,1,[598]
Thursday,6,East,108,1002,12.56,12.56,1,[605]
Thursday,6,West,102,1004,351.9,351.9,1,[599]
Thursday,6,West,102,1009,39.1,39.1,1,[604]
Thursday,7,East,106,1010,88.98,88.98,1,[610]
Thursday,7,South,102,1006,195.5,195.5,1,[611]
Thursday,7,South,108,1007,125.6,125.6,1,[620]
Thursday,7,West,102,1003,39.1,39.1,1,[608]
Thursday,8,East,107,1002,536.16,536.16,1,[623]
Thursday,8,West,108,1003,100.48,100.48,1,[622]
Thursday,9,North,107,1005,1072.32,1072.32,1,[636]
Thursday,9,South,107,1007,1072.32,1072.32,1,[637]
Thursday,10,East,104,1010,301.7,301.7,1,[643]
Tuesday,1,South,102,1006,195.5,195.5,1,[553]
Tuesday,1,West,107,1004,335.1,335.1,1,[552]
Tuesday,2,East,102,1002,312.8,312.8,1,[558]
Tuesday,2,East,106,1001,622.86,622.86,1,[559]
Tuesday,2,East,106,1011,533.88,533.88,1,[571]
Tuesday,2,East,107,1010,402.12,402.12,1,[570]
Tuesday,2,North,107,1005,469.14,469.14,1,[561]
Tuesday,4,East,105,1001,39.56,39.56,1,[586]
Tuesday,4,South,102,1007,78.2,78.2,1,[587]
Tuesday,7,East,108,1011,50.24,50.24,1,[607]
Tuesday,7,North,105,1005,79.12,79.12,1,[606]
Wednesday,3,North,105,1005,178.02,178.02,1,[572]
Wednesday,4,North,106,1008,800.82,800.82,1,[579]
Wednesday,4,South,106,1006,800.82,800.82,1,[578]
Wednesday,5,East,105,1011,98.9,98.9,1,[596]
Wednesday,5,North,102,1008,195.5,195.5,1,[597]
Wednesday,5,North,107,1005,603.18,603.18,1,[590]
Wednesday,6,East,103,1010,182.08,182.08,1,[600]
Wednesday,6,North,106,1005,711.84,711.84,1,[601]
Wednesday,7,East,107,1001,134.04,134.04,1,[616]
Wednesday,7,West,107,1003,134.04,134.04,1,[617]
Wednesday,8,East,107,1002,268.08,268.08,1,[631]
Wednesday,8,East,107,1011,201.06,201.06,1,[628]
Wednesday,8,North,106,1005,177.96,177.96,1,[635]
Wednesday,8,South,104,1007,172.4,172.4,1,[630]
Wednesday,8,South,105,1006,39.56,39.56,1,[634]
