TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,PaymentType
550,1/6/2024,1008,102,404,0,39.1,0%,Cash
551,1/6/2024,1009,105,403,0,19.78,5%,CreditCard
552,1/16/2024,1004,107,404,0,335.1,10%,DebitCard
553,1/16/2024,1006,102,406,0,195.5,15%,ApplePay
554,1/25/2024,1005,102,405,0,117.3,20%,Cash
555,1/25/2024,1001,101,401,0,2379.36,25%,DebitCard
556,1/29/2024,1009,104,403,0,172.4,0%,CreditCard
557,1/29/2024,1010,101,402,0,3172.48,30%,ApplePay
558,2/6/2024,1002,102,402,0,312.8,35%,Cash
559,2/6/2024,1001,106,401,0,622.86,40%,CreditCard
560,2/6/2024,1010,101,402,0,6344.96,45%,DebitCard
561,2/6/2024,1005,107,405,0,469.14,50%,Cash
562,2/8/2024,1003,108,403,0,12.56,55%,ApplePay
563,2/8/2024,1006,107,406,0,67.02,0%,CreditCard
564,2/9/2024,1009,107,403,0,469.14,15%,DebitCard
565,2/9/2024,1002,105,402,0,138.46,20%,Cash
566,2/24/2024,1007,103,405,0,204.84,25%,ApplePay
567,2/24/2024,1007,106,405,0,444.9,30%,CreditCard
568,2/24/2024,1011,107,401,0,603.18,35%,DebitCard
569,2/24/2024,1010,101,402,0,3965.6,40%,Cash
570,2/27/2024,1010,107,402,0,402.12,45%,ApplePay
571,2/27/2024,1011,106,401,0,533.88,50%,CreditCard
572,3/20/2024,1005,105,405,0,178.02,0%,Cash
573,3/20/2024,1001,101,401,0,7138.08,55%,DebitCard
574,3/25/2024,1006,101,406,0,4758.72,5%,ApplePay
575,3/25/2024,1001,108,401,0,75.36,10%,CreditCard
576,4/7/2024,1001,108,401,0,113.04,25%,Cash
577,4/7/2024,1005,104,405,0,387.9,30%,DebitCard
578,4/10/2024,1006,106,406,0,800.82,35%,ApplePay
579,4/10/2024,1008,106,404,0,800.82,0%,CreditCard
580,4/11/2024,1004,103,404,0,22.76,40%,Cash
581,4/11/2024,1009,101,403,0,793.12,45%,CreditCard
582,4/19/2024,1001,101,401,0,6344.96,50%,ApplePay
583,4/19/2024,1009,102,403,0,312.8,55%,DebitCard
584,4/27/2024,1007,101,405,0,7138.08,5%,Cash
585,4/27/2024,1002,108,402,0,113.04,10%,DebitCard
586,4/30/2024,1001,105,401,0,39.56,15%,CreditCard
587,4/30/2024,1007,102,405,0,78.2,0%,ApplePay
588,5/2/2024,1002,102,402,0,117.3,20%,Cash
589,5/2/2024,1007,102,405,0,117.3,35%,CreditCard
590,5/8/2024,1005,107,405,1,603.18,40%,ApplePay
591,5/8/2024,1004,101,404,1,7138.08,45%,DebitCard
592,5/17/2024,1006,107,406,1,670.2,50%,Cash
593,5/17/2024,1008,104,404,1,431,55%,CreditCard
594,5/19/2024,1003,101,403,1,1586.24,5%,ApplePay
